may,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,12,13,15,13,15,19,18,16,17,18,18,9,14,14,13,8,6,5,7,2,7,15,10,5,""
02,15,8,9,12,18,19,19,21,23,26,17,10,20,14,12,9,9,1,1,4,5,7,10,8,""
03,12,10,11,16,15,16,22,26,24,21,25,8,23,16,19,6,3,7,5,2,4,15,11,6,""
04,19,6,10,18,14,22,25,26,16,20,21,19,24,14,15,18,11,4,3,4,3,6,10,7,""
05,10,12,9,16,25,20,30,24,24,25,28,14,18,24,15,9,7,6,7,3,2,10,5,6,""
06,10,11,12,14,25,25,23,21,16,20,17,22,16,11,20,12,8,2,6,7,5,7,10,8,""
07,12,12,17,11,22,15,23,35,22,13,22,14,11,14,13,12,9,5,8,6,4,8,15,9,""
08,13,12,18,19,16,42,29,20,21,20,29,18,15,12,11,7,4,3,5,8,14,8,8,8,""
09,11,9,13,7,24,17,35,34,33,15,17,20,15,20,13,9,7,10,4,3,10,5,12,11,""
10,16,9,19,17,11,30,36,32,24,34,33,18,26,17,14,7,7,5,4,5,11,13,1,11,""
11,13,12,15,19,26,35,40,32,22,30,15,17,19,16,9,9,6,2,3,8,13,13,11,10,""
12,16,16,16,23,25,28,33,36,21,23,27,19,22,16,15,13,6,3,6,2,6,8,6,15,""
13,9,14,15,23,23,27,25,22,22,23,18,10,21,15,18,7,5,3,2,1,12,4,9,12,""
14,17,23,15,17,24,26,21,33,13,13,13,24,11,15,16,6,7,4,3,4,3,10,14,12,""
15,11,18,13,17,20,24,27,14,22,28,16,11,11,21,14,13,7,3,1,4,4,13,7,5,""
16,18,10,16,12,19,28,37,30,30,35,27,19,24,27,18,12,6,6,6,5,8,10,11,11,""
17,12,14,9,11,28,32,33,26,32,21,32,28,22,26,19,9,5,4,4,2,8,8,12,6,""
18,12,8,11,16,17,33,31,32,21,23,27,24,28,23,26,16,16,10,4,3,2,5,10,11,""
19,20,16,10,21,17,26,28,32,27,25,28,22,22,25,26,10,8,5,11,7,8,15,18,12,""
20,11,14,19,18,26,26,24,21,16,27,27,30,18,19,12,10,12,8,4,10,6,6,19,16,""
21,15,16,23,18,16,25,29,28,23,17,23,18,17,10,11,13,6,5,5,6,7,6,12,13,""
22,15,13,13,14,24,27,30,17,24,27,27,19,18,11,3,7,11,7,2,4,5,3,8,11,""
23,15,15,21,23,11,28,28,24,27,23,25,28,24,16,5,5,9,4,9,7,8,19,11,4,""
24,11,10,14,14,21,33,21,36,31,30,31,20,26,24,19,12,7,13,7,11,15,7,15,13,""
25,13,12,13,16,31,28,34,33,26,28,23,19,21,13,17,7,14,6,9,5,10,14,13,11,""
26,9,11,21,19,21,33,28,27,29,31,31,18,18,22,8,10,9,10,3,9,8,14,12,13,""
27,14,12,20,15,11,26,26,20,29,24,22,25,13,18,15,9,8,6,1,8,8,8,12,8,""
28,17,14,16,18,19,29,29,20,18,15,22,27,20,16,15,16,10,9,7,6,8,4,7,12,""
29,14,10,18,22,20,32,20,20,20,22,17,14,12,12,22,14,12,6,5,8,5,12,12,5,""
30,8,16,13,19,20,32,30,27,35,38,32,20,24,13,19,14,9,5,6,5,2,10,14,20,""
31,13,12,14,17,29,21,28,23,28,28,35,29,21,21,16,16,15,4,7,9,11,10,14,-1,""
