dec,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,19,21,28,38,22,41,16,10,8,6,7,11,4,2,6,3,4,7,12,9,7,17,19,20,""
02,15,15,20,21,29,31,18,4,13,4,6,8,9,7,5,5,7,8,7,3,8,14,18,11,""
03,15,15,22,20,22,22,12,5,9,5,6,7,9,2,3,5,0,2,3,17,19,5,12,27,""
04,19,27,23,19,33,38,13,8,8,10,9,5,8,4,3,9,7,7,6,17,22,24,24,11,""
05,19,22,24,24,15,19,21,18,9,11,8,10,1,4,5,3,0,4,4,14,7,13,6,20,""
06,17,23,13,13,21,21,20,11,6,4,5,6,3,5,3,7,6,2,3,4,3,4,3,7,""
07,5,8,18,25,23,11,12,10,12,3,8,8,7,3,5,3,4,5,9,11,11,5,13,7,""
08,9,12,14,12,19,22,17,7,10,4,3,2,3,2,0,4,3,6,3,2,9,5,3,3,""
09,3,11,8,16,4,9,6,3,8,3,0,5,3,4,4,3,2,4,13,12,19,16,16,21,""
10,16,19,8,4,15,11,19,10,10,10,10,3,6,4,5,4,1,8,9,11,10,13,18,20,""
11,31,25,14,21,24,24,29,22,10,9,5,10,3,10,6,3,3,3,17,29,29,34,22,6,""
12,14,16,10,18,21,27,17,25,16,17,8,2,4,5,5,10,4,4,10,18,9,19,7,11,""
13,12,17,17,22,32,41,49,41,24,27,14,2,3,5,6,9,9,19,26,24,20,12,16,9,""
14,4,15,13,22,29,25,36,54,35,18,17,12,5,10,9,3,10,14,22,19,20,31,30,20,""
15,29,13,25,12,20,24,20,13,9,3,5,0,3,1,7,11,4,11,7,18,16,12,25,26,""
16,17,22,11,16,23,17,8,10,13,11,10,3,5,7,2,1,5,7,3,6,6,4,7,14,""
17,17,21,17,14,16,9,13,11,9,5,9,8,9,3,6,8,5,4,7,9,10,7,7,23,""
18,14,15,10,9,13,9,14,7,6,3,3,12,5,4,5,7,2,15,7,13,19,16,10,12,""
19,11,17,16,24,26,28,6,2,2,18,7,9,5,7,2,-1,4,2,2,8,8,5,5,7,""
20,17,11,20,19,25,20,21,4,9,5,5,3,6,7,6,4,8,3,5,2,7,10,9,9,""
21,7,20,17,21,14,26,22,9,17,11,13,9,6,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
23,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
24,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
25,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
27,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
28,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,3,4,7,6,7,6,9,2,4,13,""
