Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,18,23,22,41,24,24,41,31,38,19,19,39,38,45,31,18,39,15,27,7,21,23,42,17
2,25,24,25,31,25,29,25,36,38,31,18,33,43,22,16,8,4,25,13,21,27,12,14,20
3,18,14,33,33,25,15,26,33,40,31,28,30,22,22,11,21,17,19,15,11,29,10,12,16
4,33,20,21,36,32,38,28,21,41,37,28,31,23,22,42,23,24,2,17,11,20,11,12,10
5,17,21,29,34,29,22,75,21,66,57,24,61,18,44,37,25,26,24,17,26,21,20,17,21
6,21,19,31,44,26,25,32,49,52,26,24,34,33,36,33,16,33,17,22,8,12,16,13,11
7,14,19,22,21,15,25,33,41,36,26,31,16,22,36,20,22,15,21,5,19,7,11,16,11
8,12,20,18,23,20,18,23,27,24,13,28,27,15,20,17,14,16,14,11,4,5,15,11,7
9,14,22,23,20,14,12,25,12,23,21,28,31,32,16,10,9,7,13,11,5,9,13,10,20
10,21,17,17,35,34,22,30,30,17,19,20,18,14,24,13,15,5,5,4,12,11,11,12,18
11,12,13,21,19,17,23,26,21,39,25,17,11,22,22,10,12,16,12,4,7,21,15,9,17
12,16,16,21,33,21,34,30,21,29,22,27,21,24,25,9,9,11,12,13,1,14,8,17,17
13,23,26,24,24,25,38,37,31,29,16,34,18,21,18,18,11,16,17,10,5,13,15,18,17
14,24,27,14,30,32,22,34,25,27,26,31,22,18,29,19,10,20,20,15,12,14,16,19,12
15,27,24,22,49,39,28,23,20,27,29,32,29,33,30,18,23,42,8,14,12,26,18,14,20
16,25,23,26,20,17,33,25,30,16,20,29,31,26,18,11,9,2,3,11,6,10,9,16,21
17,23,23,29,45,33,35,22,26,23,19,25,26,17,28,24,12,20,19,16,10,13,15,15,22
18,18,19,31,18,31,27,24,26,38,22,23,36,21,28,25,14,18,20,9,4,14,18,20,25
19,21,9,21,45,16,43,34,38,34,35,23,34,24,24,18,20,21,17,15,5,26,21,16,27
20,27,16,31,22,25,18,33,23,39,37,25,24,23,27,19,18,21,11,11,9,10,20,17,17
21,24,-1,-1,-1,-1,-1,-1,-1,-1,2,24,30,14,27,32,25,30,20,27,29,35,38,21,26
22,22,27,33,29,41,37,55,41,48,24,15,28,15,25,22,7,24,8,13,27,41,58,86,64
23,56,58,62,45,25,38,48,44,45,48,40,44,51,18,20,13,18,24,25,16,21,23,32,26
24,31,39,60,51,40,28,32,39,33,18,30,27,35,33,31,34,20,35,28,23,28,25,29,30
25,30,33,32,57,47,25,66,33,42,34,29,45,23,32,33,14,32,32,64,118,93,144,180,211
26,161,170,116,30,17,42,53,58,94,71,71,69,29,23,39,69,80,100,90,108,79,115,134,136
27,168,149,110,46,36,65,101,74,84,62,58,63,26,45,41,68,86,71,48,111,75,93,104,175
28,179,154,106,49,33,54,79,81,91,62,73,56,35,41,50,79,72,70,88,75,76,73,114,109
29,155,132,88,34,34,52,91,93,83,73,65,79,38,30,43,78,75,75,69,91,74,117,139,155
30,147,141,91,38,41,61,108,102,66,50,32,33,41,27,31,18,27,34,38,40,29,30,40,36
31,43,38,35,38,27,33,41,32,24,29,22,22,31,30,15,19,26,17,35,20,25,25,30,22
